text,intent
как дела,how_are_you
как у тебя дела,how_are_you
как настроение,how_are_you
что нового,how_are_you
как жизнь,how_are_you
как сам,how_are_you
как поживаешь,how_are_you
как ты,how_are_you
как оно,how_are_you
что слышно,how_are_you
как делишки,how_are_you
как успехи,how_are_you
как самочувствие,how_are_you
как вы,how_are_you
как твои дела,how_are_you
что нового у тебя,how_are_you
как жизнь молодая,how_are_you
как ты себя чувствуешь,how_are_you
как поживает семья,how_are_you
как работа,how_are_you
как учеба,how_are_you
что происходит,how_are_you
как настроение сегодня,how_are_you
как ты вообще,how_are_you
как самочувствие сегодня,how_are_you
как твое настроение,how_are_you
что хорошего,how_are_you
как продвигается,how_are_you
как жизнь вообще,how_are_you
как здоровье,how_are_you
как вы поживаете,how_are_you
как у вас дела,how_are_you
что слышно нового,how_are_you
как прошел день,how_are_you
как выходные,how_are_you
как отпуск,how_are_you
как отдыхается,how_are_you
как работается,how_are_you
как живется,how_are_you
сколько время,time
который час,time
какое сейчас время,time
скажи время,time
сколько сейчас времени,time
текущее время,time
часы покажи,time
время скажи,time
сколько времени,time
который час сейчас,time
сколько на часах,time
покажи время,time
который час на часах,time
скажи который час,time
какое сегодня число,time
какой день недели,time
какая дата,time
сегодня какое число,time
какой сейчас год,time
сколько сейчас на часах,time
который час подскажи,time
время подскажи,time
часы сколько,time
точное время,time
время московское,time
время местное,time
часы показывают,time
время сейчас,time
который час в москве,time
который час в питере,time
сколько сейчас часов,time
который час по москве,time
время по гринвичу,time
2+2,addition
5+3,addition
10+20,addition
15+7,addition
100+200,addition
сложение,addition
сколько будет 5 плюс 3,addition
плюс,addition
прибавь,addition
сложи,addition
посчитай 2+2,addition
сложить числа,addition
вычислить,addition
прибавь пять и три,addition
два плюс два,addition
десять плюс двадцать,addition
сколько будет два плюс два,addition
три плюс четыре,addition
семь плюс восемь,addition
двадцать пять плюс пятнадцать,addition
сто плюс двести,addition
тысяча плюс тысяча,addition
пять плюс пять,addition
шесть плюс шесть,addition
девять плюс один,addition
четыре плюс четыре,addition
восемь плюс два,addition
один плюс один,addition
ноль плюс ноль,addition
сложи два и два,addition
сложи пять и три,addition
сколько получится если сложить,addition
калькулятор,addition
посчитать,addition
подсчитай,addition
вычисли сумму,addition
найди сумму,addition
как тебя зовут,ask_name
как зовут,ask_name
твое имя,ask_name
как к тебе обращаться,ask_name
представься,ask_name
кто ты,ask_name
как тебя называть,ask_name
твое имя как,ask_name
как твое имя,ask_name
имя твое,ask_name
как твоя фамилия,ask_name
расскажи о себе,ask_name
представьтесь,ask_name
как тебя величать,ask_name
какое у тебя имя,ask_name
назови свое имя,ask_name
скажи как тебя зовут,ask_name
представься пожалуйста,ask_name
кто ты такой,ask_name
что ты за бот,ask_name
как тебя зовут бот,ask_name
твое имя бот,ask_name
как называть тебя,ask_name
как к тебе обратиться,ask_name
как обращаться,ask_name
ваше имя,ask_name
как вас зовут,ask_name
спасибо,thanks
благодарю,thanks
отлично,thanks
спасибо большое,thanks
мерси,thanks
благодарствую,thanks
спс,thanks
пасиб,thanks
огромное спасибо,thanks
выручил,thanks
спасибо за помощь,thanks
благодарю вас,thanks
очень признателен,thanks
ценю,thanks
спасибочки,thanks
благодарность,thanks
спасибо тебе,thanks
спасибо огромное,thanks
благодарю тебя,thanks
спасибо за ответ,thanks
спасибо за информацию,thanks
спасибо что помог,thanks
спасибо за совет,thanks
спасибо за поддержку,thanks
благодарю за помощь,thanks
очень благодарен,thanks
искренне благодарю,thanks
примите благодарность,thanks
спасибо что есть,thanks
спасибо за внимание,thanks
спасибо за понимание,thanks
благодарствую вам,thanks
крайне признателен,thanks
спасибо большое вам,thanks
спасибо за помощь дружище,thanks
благодарю от души,thanks
спасибо что выручил,thanks
спасибо за заботу,thanks
благодарю за доброту,thanks
спасибо за участие,thanks
